ranking	critic_score	title	number_of_critic_ratings
1	99	The Wizard of Oz (1939)	110
2	100	Citizen Kane (1941)	75
3	100	The Third Man (1949)	77
4	99	Get Out (2017)	282
5	97	Mad Max: Fury Road (2015)	370
6	100	The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920)	49
7	100	All About Eve (1950)	64
8	98	Inside Out (2015)	324
9	99	The Godfather (1972)	85
10	99	Metropolis (1927)	116
11	98	E.T. The Extra-Terrestrial (1982)	114
12	100	Modern Times (1936)	53
13	98	It Happened One Night (1934)	52
14	100	Singin' in the Rain (1952)	49
15	98	Boyhood (2014)	283
16	97	Casablanca (1942)	74
17	98	Moonlight (2016)	292
18	97	Psycho (1960)	86
19	100	Laura (1944)	60
20	97	Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)	62
21	98	Snow White and the Seven Dwarfs (1937)	47
22	98	A Hard Day's Night (1964)	104
23	97	La Grande illusion (Grand Illusion) (1938)	63
24	100	North by Northwest (1959)	65
25	99	The Battle of Algiers (La Battaglia di Algeri) (1967)	83
26	93	Dunkirk (2017)	337
27	100	The Maltese Falcon (1941)	50
28	100	Repulsion (1965)	60
29	96	12 Years a Slave (2013)	316
30	96	Gravity (2013)	315
31	98	Sunset Boulevard (1950)	60
32	98	King Kong (1933)	54
33	96	Spotlight (2015)	311
34	100	The Adventures of Robin Hood (1938)	45
35	100	Rashômon (1951)	50
36	100	Rear Window (1954)	63
37	99	Selma (2015)	236
38	99	Taxi Driver (1976)	77
39	99	Toy Story 3 (2010)	291
40	96	Argo (2012)	313
41	100	Toy Story 2 (1999)	163
42	98	The Big Sick (2017)	217
43	100	The Bride of Frankenstein (1935)	41
44	98	Zootopia (2016)	249
45	100	M (1931)	51
46	92	Wonder Woman (2017)	333
47	100	The Philadelphia Story (1940)	54
48	97	Alien (1979)	104
49	98	Bicycle Thieves (Ladri di biciclette) (1949)	56
50	100	Seven Samurai (Shichinin no Samurai) (1956)	57
51	100	The Treasure of the Sierra Madre (1948)	45
52	98	Up (2009)	286
53	100	12 Angry Men (Twelve Angry Men) (1957)	49
54	100	The 400 Blows (Les Quatre cents coups) (1959)	54
55	93	Logan (2017)	309
56	100	All Quiet on the Western Front (1930)	40
57	97	Army of Shadows (L'Armée des ombres) (1969)	73
58	94	Arrival (2016)	333
59	93	Baby Driver (2017)	283
60	98	A Streetcar Named Desire (1951)	54
61	98	The Night of the Hunter (1955)	64
62	92	Star Wars: Episode VII - The Force Awakens (2015)	370
63	96	Manchester by the Sea (2016)	278
64	99	Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964)	74
65	100	Frankenstein (1931)	45
66	97	Vertigo (1958)	64
67	94	The Dark Knight (2008)	325
68	96	Touch of Evil (1958)	70
69	98	The Babadook (2014)	214
70	100	The Conformist (1970)	50
71	100	Rebecca (1940)	48
72	99	Rosemary's Baby (1968)	69
73	99	Finding Nemo (2003)	256
74	97	Brooklyn (2015)	243
75	98	The Wrestler (2008)	222
76	98	The 39 Steps (1935)	44
77	99	L.A. Confidential (1997)	108
78	94	Gone With the Wind (1939)	83
79	97	The Good, the Bad and the Ugly (1966)	68
80	93	Skyfall (2012)	349
81	100	Open City (1946)	41
82	100	Tokyo Story (Tôkyô monogatari) (1953)	42
83	97	Hell or High Water (2016)	237
84	100	Pinocchio (1940)	45
85	95	The Jungle Book (2016)	284
86	92	La La Land (2016)	358
87	95	Star Trek (2009)	336
88	96	High Noon (1952)	50
89	98	Apocalypse Now (1979)	80
90	98	On the Waterfront (1954)	61
91	100	The Wages of Fear (1953)	40
92	100	The Last Picture Show (1971)	51
93	96	Harry Potter and the Deathly Hallows - Part 2 (2011)	314
94	100	The Grapes of Wrath (1940)	43
95	98	Roman Holiday (1953)	52
96	100	Man on Wire (2008)	156
97	97	Jaws (1975)	74
98	100	Toy Story (1995)	78
99	97	The Godfather, Part II (1974)	72
100	100	Battleship Potemkin (1925)	45